country_iso3,year,source,indicator_code,indicator_short,value
ABW,1991,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1991,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1991,worldbank,SP.ADO.TFRT,adolescent_fertility,57.007
ABW,1991,worldbank,SP.DYN.TFRT.IN,tfr,2.362
ABW,1991,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.4009220636969
ABW,1992,un,UN_18,mean_age_childbearing,27.186
ABW,1992,un,UN_41,female_population_15_49,18547.5
ABW,1992,un,UN_50,population_change,2011.00000000001
ABW,1992,un,UN_66,crude_net_migration_rate,18.788
ABW,1992,un,UN_67,median_age,30.2860828218836
ABW,1992,un,UN_83,child_dependency_ratio,41.5890002412228
ABW,1992,un,UN_86,total_dependency_ratio,51.0350650205039
ABW,1992,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,13892.6051427736
ABW,1992,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1992,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1992,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1992,worldbank,SP.ADO.TFRT,adolescent_fertility,50.119
ABW,1992,worldbank,SP.DYN.TFRT.IN,tfr,2.353
ABW,1992,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.3905890889858
ABW,1993,un,UN_18,mean_age_childbearing,27.356
ABW,1993,un,UN_41,female_population_15_49,19239.0
ABW,1993,un,UN_50,population_change,2384.99999999999
ABW,1993,un,UN_66,crude_net_migration_rate,23.357
ABW,1993,un,UN_67,median_age,30.5194823228616
ABW,1993,un,UN_83,child_dependency_ratio,41.069463257704
ABW,1993,un,UN_86,total_dependency_ratio,50.4222400948188
ABW,1993,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,14700.9598081521
ABW,1993,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1993,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1993,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1993,worldbank,SP.ADO.TFRT,adolescent_fertility,47.146
ABW,1993,worldbank,SP.DYN.TFRT.IN,tfr,2.331
ABW,1993,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.3844666218501
ABW,1994,un,UN_18,mean_age_childbearing,27.427
ABW,1994,un,UN_41,female_population_15_49,19997.0
ABW,1994,un,UN_50,population_change,2388.00000000001
ABW,1994,un,UN_66,crude_net_migration_rate,22.652
ABW,1994,un,UN_67,median_age,30.7330826044234
